Player,Team,Pos,PassingYds,PassingTD,Int,RushingYds,RushingTD,Receptions,ReceivingYds,ReceivingTD
Javonte Williams,RB33,DEN,0,0,0,606,4.3,37,249,0.8
Terry McLaurin,WR32,WAS,0,0,0,0,0,65,877,4.6
Trey Benson,RB34,ARI,0,0,0,633,4.4,24,190,1
Las Vegas Raiders,DST17,LV,--,--,--,--,--,--,--,--
Gus Edwards,RB35,LAC,0,0,0,682,4.7,18,134,0.7
Jayden Reed,WR33,GB,9,0,0,76,0.7,60,706,5
Xavier Worthy,WR34,KC,0,0,0,40,0.5,58,731,5.4
Chicago Bears,DST18,CHI,--,--,--,--,--,--,--,--
Keenan Allen,WR35,CHI,0,0,0,0,0,74,845,4.6
Marquise Brown,WR36,KC,0,0,0,13,0.1,66,802,5
Minnesota Vikings,DST19,MIN,--,--,--,--,--,--,--,--
Kyle Pitts,TE4,ATL,0,0,0,0,0,65,813,5.1
Tyjae Spears,RB36,TEN,0,0,0,530,3.7,37,289,1.2
Seattle Seahawks,DST20,SEA,--,--,--,--,--,--,--,--
Ezekiel Elliott,RB37,DAL,0,0,0,531,5.4,25,167,1.4
Calvin Ridley,WR37,TEN,0,0,0,25,0.2,64,797,4.5
Chase Brown,RB38,CIN,0,0,0,506,3.5,38,262,2.1
Austin Ekeler,RB39,WAS,0,0,0,504,4.4,34,255,1.3
Rome Odunze,WR38,CHI,0,0,0,30,0.3,53,791,4.2
Jacksonville Jaguars,DST21,JAC,--,--,--,--,--,--,--,--
Atlanta Falcons,DST22,ATL,--,--,--,--,--,--,--,--
Zach Charbonnet,RB40,SEA,0,0,0,558,3.6,36,246,1.1
DeAndre Hopkins,WR39,TEN,0,0,0,0,0,63,813,4.5
Miami Dolphins,DST23,MIA,--,--,--,--,--,--,--,--
Tennessee Titans,DST24,TEN,--,--,--,--,--,--,--,--
Arizona Cardinals,DST25,ARI,--,--,--,--,--,--,--,--
Rico Dowdle,RB41,DAL,0,0,0,540,4,26,185,1.6
Joshua Palmer,WR40,LAC,0,0,0,10,0.1,57,738,5.1
New York Giants,DST26,NYG,--,--,--,--,--,--,--,--
Diontae Johnson,WR41,CAR,0,0,0,13,0.1,68,784,4.3
Ladd McConkey,WR41,LAC,0,0,0,15,0.1,69,758,4.7
Denver Broncos,DST27,DEN,--,--,--,--,--,--,--,--
Dalton Kincaid,TE5,BUF,0,0,0,0,0,72,766,4.8
Trey McBride,TE5,ARI,0,0,0,0,0,75,784,4.5
George Kittle,TE7,SF,0,0,0,4,0,53,728,5.3
Gabe Davis,WR43,JAC,0,0,0,7,0.1,47,754,4.7
Jake Ferguson,TE8,DAL,0,0,0,0,0,70,726,5.2
Jaxon Smith-Njigba,WR44,SEA,0,0,0,19,0.1,65,755,4.1
Chris Godwin,WR45,TB,0,0,0,9,0.1,62,772,3.9
Khalil Shakir,WR46,BUF,0,0,0,23,0.2,53,732,4.1
Washington Commanders,DST28,WAS,--,--,--,--,--,--,--,--
Blake Corum,RB42,LAR,0,0,0,589,3.6,23,159,0.8
New Orleans Saints,DST29,NO,--,--,--,--,--,--,--,--
Rashid Shaheed,WR47,NO,0,0,0,30,0.3,53,716,4.1
Jordan Addison,WR48,MIN,0,0,0,9,0.1,61,719,4.5
Christian Watson,WR48,GB,0,0,0,27,0.2,50,688,4.6
New England Patriots,DST30,NE,--,--,--,--,--,--,--,--
Tyler Allgeier,RB43,ATL,0,0,0,535,4.1,20,151,1.1
Courtland Sutton,WR50,DEN,0,0,0,0,0,59,746,4.1
Adonai Mitchell,WR51,IND,0,0,0,14,0.1,51,712,4.2
Jaleel McLaughlin,RB44,DEN,0,0,0,510,4.1,26,184,0.7
